source,building_id,longitude,latitude,height_m,층수,용도,종류
map1,295,227475.13629107134,379383.23054981144,3.0,1,기타시설,무벽건물
map1,296,227602.32184155923,379794.2796907381,3.0,1,기타시설,무벽건물
map1,297,227548.8592910973,379563.49533375975,3.0,1,기타시설,무벽건물
map1,298,227566.75543041847,379405.9514469923,3.0,1,근린생활시설,주택외건물
map1,299,228703.7528279506,379078.2060133857,3.0,1,교육연구시설,무벽건물
map1,300,228570.28989906123,378605.48871477775,3.0,1,기타시설,무벽건물
map1,301,229239.7280952827,379826.9910603014,3.0,1,교육연구시설,무벽건물
map1,302,228226.71750404083,380725.05951753573,3.0,1,교육연구시설,무벽건물
map1,303,228404.65993853187,379652.18863667833,3.0,1,주택,일반주택
map1,304,228028.6998116055,380059.6916126468,3.0,1,기타시설,무벽건물
map1,305,227978.1307042565,380139.21789992385,3.0,1,기타시설,무벽건물
map1,306,227983.46477122942,380242.89660717227,3.0,1,기타시설,무벽건물
map1,307,227988.61027822937,379460.96854628006,3.0,1,기타시설,무벽건물
map1,308,228008.2775886009,379545.51101738744,3.0,1,기타시설,무벽건물
map1,309,229145.387960148,378866.32062427216,6.0,2,주택,일반주택
map1,310,227832.61165008854,380114.2570567581,3.0,1,기타시설,무벽건물
map1,311,229002.22916948903,379956.6188300543,3.0,1,근린생활시설,무벽건물
map1,312,227929.4525665442,379629.0841331207,6.0,2,주택,일반주택
map1,313,227746.1519489596,380783.1347078503,3.0,1,기타시설,무벽건물
map1,314,227817.73676620133,380820.11555410305,3.0,1,기타시설,무벽건물
map1,315,227838.84670751326,378718.3722620275,3.0,1,기타시설,무벽건물
map1,316,227896.46294741973,378693.0208567451,3.0,1,기타시설,무벽건물
map1,317,227833.658096684,379240.7219490322,3.0,1,주택,일반주택
map1,318,227834.86117424522,379249.3411222175,3.0,1,기타시설,무벽건물
map1,319,227784.1086393356,378728.7188804626,3.0,1,주택,일반주택
map1,320,227789.5987570903,378704.5558025908,3.0,1,기타시설,무벽건물
map1,321,227769.97805075548,378604.9947733166,3.0,1,기타시설,무벽건물
map1,322,227796.9909659153,378668.31034568965,6.0,2,주택,일반주택
map1,323,227792.22115816126,378652.4585401474,6.0,2,주택,일반주택
map1,324,227769.70330036955,378664.4555044682,3.0,1,기타시설,무벽건물
map1,325,227824.26347104245,379249.73492956185,3.0,1,기타시설,무벽건물
map1,326,227803.54382721035,379286.97506792436,3.0,1,기타시설,무벽건물
map1,327,227881.8325659718,378725.0027082184,6.0,2,주택,일반주택
map1,328,227883.90955182264,378697.8251295338,6.0,2,주택,일반주택
map1,329,227684.11469064854,378255.52259028674,3.0,1,기타시설,무벽건물
map1,330,227417.70549763745,378274.1746301224,3.0,1,기타시설,무벽건물
map1,331,227442.05261539036,378247.5813763262,3.0,1,주택,일반주택
map1,332,227439.3332021083,378276.8886100775,3.0,1,주택,일반주택
map1,333,227406.22604466206,378304.3376321325,3.0,1,근린생활시설,주택외건물
map1,334,227452.08045333665,378268.0168333391,3.0,1,주택,일반주택
map1,335,227454.52769688517,378280.20730798715,3.0,1,주택,일반주택
map1,336,227457.1392046348,378250.2902510556,3.0,1,기타시설,주택외건물
map1,337,227457.16061786134,378262.94542608154,3.0,1,근린생활시설,주택외건물
map1,338,227438.1990320382,378288.5345743508,3.0,1,기타시설,무벽건물
map1,339,227688.97174603338,378248.9487785948,3.0,1,공장,주택외건물
map1,340,227412.92080538248,378274.6386227351,3.0,1,근린생활시설,주택외건물
map1,341,227444.29212967175,378257.20496891317,3.0,1,주택,일반주택
map1,342,227668.3548865193,378274.64423875,6.0,2,공장,주택외건물
map1,343,227453.95077947996,378286.71365836833,3.0,1,주택,일반주택
map1,344,227462.36090561736,378259.6189378156,3.0,1,근린생활시설,주택외건물
map1,345,227664.76153299288,378280.8827360659,3.0,1,공장,주택외건물
map1,346,227674.08556351077,378212.00297256047,3.0,1,공장,무벽건물
map1,347,227401.70354085116,378168.9472866546,3.0,1,주택,일반주택
map1,348,227400.8719482046,378180.07829565636,3.0,1,주택,일반주택
map1,349,227392.59283738563,378177.14693935186,3.0,1,주택,일반주택
map1,350,227401.77897719442,378140.3076527377,3.0,1,기타시설,무벽건물
map1,351,227419.2986880886,378179.5170637937,3.0,1,근린생활시설,주택외건물
